Code depot;Libellé;NULL;Code magasin
1;Exist Sfax1;NULL;1
2;Exist Corniche Sfax;NULL;2
3;Exist Ennasr;NULL;3
4;Exist Lafayette;NULL;4
5;Exist Habib Thameur;NULL;5
6;Exist Soukra;NULL;6
7;Exist Sousse Khezema;NULL;7
8;Exist Nabeul1;NULL;8
9;Exist Kairouan;NULL;9
10;Exist Manar;NULL;10
11;Exist Gabes1;NULL;11
12;Exist Bizerte;NULL;12
13;Exist yougoslavie;NULL;13
14;Exist Sahloul Sousse;NULL;14
15;Exist Kelibia;NULL;15
16;Exist Central Park;NULL;16
17;Exist Mahdia;NULL;17
18;Exist Gafsa;NULL;18
19;Exist Av.de Paris;NULL;19
20;Exist Av. de Londres;NULL;20
21;Exist Nabeul 2;NULL;21
22;Exist Sfax 2;NULL;22
23;Exist El Borj;NULL;23
24;Exist Monastir;NULL;24
25;Exist Hammamet;NULL;25
26;Exist Djerba1;NULL;26
27;Exist Gabes2;NULL;27
28;Exist Tunis mall;NULL;28
29;Exist Megrine;NULL;29
30;Exist Sousse H.Bourguiba;NULL;30
31;Exist Aouina;NULL;31
32;Exist Djerba 2;NULL;32
33;Exist Zarzis;NULL;33
34;Exist Nabeul3;NULL;34
35;Exist Tunis City;NULL;35
36;Exist Sidi Bouzid;NULL;36
37;Exist Bourgo Mall;NULL;37
38;Exist Rue Hollande;NULL;38
39;Exist Nasria2;NULL;39
40;Exist Manzah 8;NULL;40
41;Exist Azur City;NULL;41
42;Exist Mall Of Sousse;NULL;42
43;Exist Teniour;NULL;43
44;EXIST Rue de la liberté;NULL;44
45;Exist Bardo;NULL;45
46;Exist Kef;NULL;46
47;Exist Siliana;NULL;47
48;Exist Beja;NULL;48
49;Exist Mall of Sfax;NULL;49
50;Exist Jendouba;NULL;50
999;SIEGE EXIST;NULL;999
