Code depot;Libellé;Code magasin;Code magasin
001;Exist Sfax1;001;001
002;Exist Corniche Sfax;002;002
003;Exist Ennasr;003;003
004;Exist Lafayette;004;004
005;Exist Habib Thameur;005;005
006;Exist Soukra;006;006
007;Exist Sousse Khezema;007;007
008;Exist Nabeul1;008;008
009;Exist Kairouan;009;009
010;Exist Manar;010;010
011;Exist Gabes1;011;011
012;Exist Bizerte;012;012
013;Exist yougoslavie;013;013
014;Exist Sahloul Sousse;014;014
015;Exist Kelibia;015;015
016;Exist Central Park;016;016
017;Exist Mahdia;017;017
018;Exist Gafsa;018;018
019;Exist Av.de Paris;019;019
020;Exist Av. de Londres;020;020
021;Exist Nabeul 2;021;021
022;Exist Sfax 2;022;022
023;Exist El Borj;023;023
024;Exist Monastir;024;024
025;Exist Hammamet;025;025
026;Exist Djerba1;026;026
027;Exist Gabes2;027;027
028;Exist Tunis mall;028;028
029;Exist Megrine;029;029
030;Exist Sousse H.Bourguiba;030;030
031;Exist Aouina;031;031
032;Exist Djerba 2;032;032
033;Exist Zarzis;dep;033
034;Exist Nabeul3;dep;034
035;Exist Tunis City;dep;035
036;Exist Sidi Bouzid;dep;036
037;Exist Bourgo Mall;dep;037
038;Exist Rue Hollande;dep;038
039;Exist Nasria2;dep;039
040;Exist Manzah 8;dep;040
041;Exist Azur City;dep;041
042;Exist Mall Of Sousse;dep;042
043;Exist Teniour;dep;043
044;EXIST Rue de la liberté;dep;044
045;Exist Bardo;dep;045
046;Exist Kef;dep;046
047;Exist Siliana;dep;047
048;Exist Beja;dep;048
049;Exist Mall of Sfax;dep;049
050;Exist Jendouba;dep;050
999;SIEGE EXIST;dep;999
